pdb	run	capri	n	tx_acc	tx_med	tx_high	tx_near_acc
154L	run_bound_default_ti	5_caprieval	1	0	0	0	0
154L	run_bound_default_ti	5_caprieval	2	0	0	0	0
154L	run_bound_default_ti	5_caprieval	3	0	0	0	0
154L	run_bound_default_ti	5_caprieval	4	0	0	0	0
154L	run_bound_default_ti	5_caprieval	5	1	1	1	1
154L	run_bound_default_ti	5_caprieval	10	1	1	1	2
154L	run_bound_default_ti	5_caprieval	20	1	1	1	2
154L	run_bound_default_ti	5_caprieval	30	1	1	1	2
154L	run_bound_default_ti	5_caprieval	40	1	1	1	2
154L	run_bound_default_ti	5_caprieval	50	1	1	1	2
154L	run_bound_vdw_na	5_caprieval	1	1	1	1	1
154L	run_bound_vdw_na	5_caprieval	2	1	1	1	1
154L	run_bound_vdw_na	5_caprieval	3	1	1	1	1
154L	run_bound_vdw_na	5_caprieval	4	1	1	1	1
154L	run_bound_vdw_na	5_caprieval	5	1	1	1	1
154L	run_bound_vdw_na	5_caprieval	10	1	1	1	1
154L	run_bound_vdw_na	5_caprieval	20	1	1	1	1
154L	run_bound_vdw_na	5_caprieval	30	1	1	1	1
154L	run_bound_vdw_na	5_caprieval	40	1	1	1	1
154L	run_bound_vdw_na	5_caprieval	50	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	1	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	2	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	3	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	4	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	5	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	10	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	20	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	30	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	40	1	1	1	1
154L	run_bound_vdw_ti	5_caprieval	50	1	1	1	1
154L	run_unbound_ens_vdw_na_clust150	11_caprieval	1	0	0	0	0
