list_l3b	Glycam_to_bound	sf100-x1	sf100-x8	sf100-x16	sf400-x1	sf400-x16
1OH4	1.835	1.637	1.520	1.554	1.486	1.535
2J1T	0.818	0.766	0.758	0.749	0.766	0.748
2VUZ	2.753	2.462	2.001	1.783	2.366	1.668
2XJR	1.784	1.224	1.128	0.860	1.224	0.860
2Z8L	1.383	1.174	1.110	0.984	1.042	0.984
3AP9	1.156	0.946	0.943	0.831	0.900	0.800
3ZWE	2.136	2.060	2.158	2.178	2.060	2.164
